IRI 	 Label 	 Definition
http://purl.org/utmb/ndkg.owl#KGN_0000082	Atmospheric Dust Level	"Atmospheric dust is defined as the small, irregular, solid, heterogenic mineral particles in the atmosphere."
http://purl.org/utmb/ndkg.owl#KGN_0000081	Depressurization	"The process of becoming lower in air pressure or causing a closed space, especially the inside of an aircraft, to become lower in air pressure."
http://purl.org/utmb/ndkg.owl#KGN_0000086	Ingestion Toxicity	Systemic damage or injury to the body resulting from swallowing of a harmful substance in space flight.
http://purl.obolibrary.org/obo/OHMI_0000003	Microbiome	"The microbiome is the community of microorganisms (such as fungi, bacteria and viruses) that exists in a particular environment."
http://purl.org/utmb/ndkg.owl#KGN_0000085	Skin Irriration	"A substance which causes inflammation of the skin, principally a disease known as dermatitis."
http://purl.org/utmb/ndkg.owl#KGN_0000089	Vascular Congestion	"Vasocongestion, vascular congestion or vascular engorgement is the swelling of bodily tissues caused by increased vascular blood flow and a localized increase in blood pressure."
http://purl.obolibrary.org/obo/GO_0001964	Startle Reaction	"An unconscious defensive response to sudden or threatening stimuli such as a loud noise, sharp movement, or shock."
http://purl.org/utmb/ndkg.owl#KGN_0000193	Thigh Cuffs	"Cuffs placed around the upper thigh which can be tightened or inflated to occlude venous (i.e., sequestering blood in the lower body) and arterial blood flow (i.e., blood flow restriction)."
http://purl.org/utmb/ndkg.owl#KGN_0000071	Loss of EVA(s)	Inability to conduct planned or contingency extravehicular activities during a mission.
http://purl.org/utmb/ndkg.owl#KGN_0000192	Thermal Environment	Cabin temperature and humidity environment during and post landing.
http://purl.org/utmb/ndkg.owl#KGN_0000070	Environmental Injury	
http://purl.org/utmb/ndkg.owl#KGN_0000191	Thermal Degradation	Chemicals produced when a material is exposed to elevated temperatures
http://purl.org/utmb/ndkg.owl#KGN_0000076	EVA Duration	"Length of time an extravehicular activity lasts, can be planned or actual."
http://purl.org/utmb/ndkg.owl#KGN_0000197	Toxic Substance Monitoring	Monitoring for specific toxic compounds of potential concern.
http://snomed.info/id/6300007	Noise Exposure	"The level, spectrum, and duration of noise experienced by a human. Noise is defined as sound in the auditory range (15 Hz to 20,000 Hz) that is hazardous, undesired, and/or inappropriate to the intended use of the space.(NASA-STD-3001)"
http://purl.org/utmb/ndkg.owl#KGN_0000075	EVA Frequency	"Number of extravehicular activities conducted in a given period, and how often are they occurring (tempo)."
http://purl.org/utmb/ndkg.owl#KGN_0000196	Toxic Exposure	Contact with agents or substances in the interior of the spacecraft or spacesuit that can affect the health and performance of the astronauts.
http://purl.org/utmb/ndkg.owl#KGN_0000074	EVA Operations	Activities performed by suited crew outside the pressurized environment of a flight vehicle or habitat (during space flight or on a destination surface).
http://purl.org/utmb/ndkg.owl#KGN_0000195	Tool Design	"The form and function of a hardware/software device, implement, or method to accomplish a particular outcome in a specific operating environment."
http://purl.org/utmb/ndkg.owl#KGN_0000073	Denitrogenation	To reduce the stored nitrogen in the body of by forced breathing of pure oxygen for a period of time especially as a measure designed to prevent development of decompression sickness.
http://purl.org/utmb/ndkg.owl#KGN_0000194	Time Critical Procedure Execution	Accomplishing the steps in a procedure that must be completed within a specific period to prevent unwanted consequences and/or achieve the desired outcome.
